name	url	locale	address	price	time
Сельдь Матиас деликатесное оригинальное филе, 400г	https://www.perekrestok.ru/cat/812/p/seld-matias-delikatesnoe-originalnoe-file-400g-3637884	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Санта Бремор Матиас XXL отборная филе-кусочки в масле слабосолёная, 260г	https://www.perekrestok.ru/cat/812/p/seld-santa-bremor-matias-xxl-otbornaa-file-kusocki-v-masle-slabosolenaa-260g-4034451	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Русское Море Исландка филе-кусочки в красном вине, 115г	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-islandka-file-kusocki-v-krasnom-vine-115g-3463468	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь тихоокеанская соленая филе-кусочки в масле Пр!ст, 200г	https://www.perekrestok.ru/cat/812/p/seld-tihookeanskaa-solenaa-file-kusocki-v-masle-pr-st-200g-4322376	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Матиас оригинал филе в масле, 250г	https://www.perekrestok.ru/cat/812/p/seld-matias-original-file-v-masle-250g-79542	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Русское Море традиционный посол филе в масле, 400г	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-tradicionnyj-posol-file-v-masle-400g-3993017	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Русское Море бочковая слабосолёная филе, 230г	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-bockovaa-slabosolenaa-file-230g-3454388	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь тихоокеанская солёная филе-кусочки в масле с укропом Пр!ст,  200г	https://www.perekrestok.ru/cat/812/p/seld-tihookeanskaa-solenaa-file-kusocki-v-masle-s-ukropom-pr-st-200g-4323336	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Русское Море Исландка филе-кусочки в белом вине, 115г	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-islandka-file-kusocki-v-belom-vine-115g-3463469	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Балтийский Берег по-царски филе-кусочки в масле, 400г	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-po-carski-file-kusocki-v-masle-400g-3621742	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Русское Море Исландка филе-кусочки в масле, 115г	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-islandka-file-kusocki-v-masle-115g-3463465	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь атлантическая Матиас XXL отборная филе слабосолёное в масле, 300г	https://www.perekrestok.ru/cat/812/p/seld-atlanticeskaa-matias-xxl-otbornaa-file-slabosolenoe-v-masle-300g-4147685	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Балтийский Берег по-царски филе-кусочки в масле с укропом, 400г	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-po-carski-file-kusocki-v-masle-s-ukropom-400g-3622071	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Балтийский Берег филе-кусочки в сырном соусе, 200г	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-file-kusocki-v-syrnom-souse-200g-2035092	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Филе-кусочки сельди Матиас атлантической слабосоленые отборные в масле, 400г	https://www.perekrestok.ru/cat/812/p/file-kusocki-seldi-matias-atlanticeskoj-slabosolenye-otbornye-v-masle-400g-4225103	msk	Москва, Большой Патриарший переулок, 5	319,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Раптика филе в масле, 230г	https://www.perekrestok.ru/cat/812/p/seld-raptika-file-v-masle-230g-3636829	msk	Москва, Большой Патриарший переулок, 5	142,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Матиас филе в масле с ароматом дыма, 250г	https://www.perekrestok.ru/cat/812/p/seld-matias-file-v-masle-s-aromatom-dyma-250g-79544	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь тихоокеанская Раптика филе в масле с ароматом белый трюфель солёная, 230г	https://www.perekrestok.ru/cat/812/p/seld-tihookeanskaa-raptika-file-v-masle-s-aromatom-belyj-trufel-solenaa-230g-4129196	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Балтийский Берег по-царски филе-кусочки в масле с дымком, 400г	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-po-carski-file-kusocki-v-masle-s-dymkom-400g-3622072	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь филе Санта Бремор Матиас свежая зелень, 250г	https://www.perekrestok.ru/cat/812/p/seld-file-santa-bremor-matias-svezaa-zelen-250g-3164086	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Балтийский Берег по-царски тихоокеанская филе в масле, 400г	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-po-carski-tihookeanskaa-file-v-masle-400g-3682728	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Килька каспийская Балтийский Берег неразделанная пряного посола, 400г	https://www.perekrestok.ru/cat/812/p/kilka-kaspijskaa-baltijskij-bereg-nerazdelannaa-pranogo-posola-400g-4181525	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Килька Балтийский Берег из филе кильки балтийской пряного посола в масле, 145г	https://www.perekrestok.ru/cat/812/p/kilka-baltijskij-bereg-iz-file-kilki-baltijskoj-pranogo-posola-v-masle-145g-3293722	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Коктейль из морепродуктов Балтийский Берег оливковый маре варёный в масле, 380г	https://www.perekrestok.ru/cat/812/p/koktejl-iz-moreproduktov-baltijskij-bereg-olivkovyj-mare-varenyj-v-masle-380g-4045867	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Коктейль из морепродуктов Балтийский Берег варёный в маринаде, 390г	https://www.perekrestok.ru/cat/812/p/koktejl-iz-moreproduktov-baltijskij-bereg-varenyj-v-marinade-390g-4045868	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Паста Крем-Фиш кальмар-креветка, 150г	https://www.perekrestok.ru/cat/812/p/pasta-krem-fis-kalmar-krevetka-150g-3664715	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кальмар Два капитана командорский отварной соломка в рассоле, 310г	https://www.perekrestok.ru/cat/812/p/kalmar-dva-kapitana-komandorskij-otvarnoj-solomka-v-rassole-310g-4045871	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кальмар Балтийский Берег рубленый в сливочном соусе с креветкой, 150г	https://www.perekrestok.ru/cat/812/p/kalmar-baltijskij-bereg-rublenyj-v-slivocnom-souse-s-krevetkoj-150g-4048578	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мясо мидии Балтийский Берег чилийской варёное в маринаде, 390г	https://www.perekrestok.ru/cat/812/p/maso-midii-baltijskij-bereg-cilijskoj-varenoe-v-marinade-390g-4045865	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кальмар Балтийский Берег, 150г	https://www.perekrestok.ru/cat/812/p/kalmar-baltijskij-bereg-150g-4048575	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Коктейль из морепродуктов Меридиан в масле, 200г	https://www.perekrestok.ru/cat/812/p/koktejl-iz-moreproduktov-meridian-v-masle-200g-48140	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Коктейль из морепродуктов Меридиан Мехико в масле с пряностями, 200г	https://www.perekrestok.ru/cat/812/p/koktejl-iz-moreproduktov-meridian-mehiko-v-masle-s-pranostami-200g-48143	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мидии Vici варёно-копчёные маринованные в масле, 200г	https://www.perekrestok.ru/cat/812/p/midii-vici-vareno-kopcenye-marinovannye-v-masle-200g-4167221	msk	Москва, Большой Патриарший переулок, 5	184,99 ₽/шт	Sun Jul  7 23:20:00 2024
Филе-кусочки Путина нерки соленой в масле, 150г	https://www.perekrestok.ru/cat/184/p/file-kusocki-putina-nerki-solenoj-v-masle-150g-4340777	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Коктейль из морепродуктов Меридиан в масле с зеленью, 200г	https://www.perekrestok.ru/cat/812/p/koktejl-iz-moreproduktov-meridian-v-masle-s-zelenu-200g-48142	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Филе-кусочки Путина кеты соленой в масле, 150г	https://www.perekrestok.ru/cat/184/p/file-kusocki-putina-kety-solenoj-v-masle-150g-4340779	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Санта Бремор Матиас XXL отборная филе-кусочки в масле слабосолёная, 260г	https://www.perekrestok.ru/cat/812/p/seld-santa-bremor-matias-xxl-otbornaa-file-kusocki-v-masle-slabosolenaa-260g-4034451	spb	Санкт-Петербург, Биржевая площадь, 4	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Матиас деликатесное оригинальное филе, 400г	https://www.perekrestok.ru/cat/812/p/seld-matias-delikatesnoe-originalnoe-file-400g-3637884	spb	Санкт-Петербург, Биржевая площадь, 4	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Матиас оригинал филе в масле, 250г	https://www.perekrestok.ru/cat/812/p/seld-matias-original-file-v-masle-250g-79542	spb	Санкт-Петербург, Биржевая площадь, 4	209,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Русское Море традиционный посол филе в масле, 400г	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-tradicionnyj-posol-file-v-masle-400g-3993017	spb	Санкт-Петербург, Биржевая площадь, 4	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Балтийский Берег по-царски филе-кусочки в масле с укропом, 400г	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-po-carski-file-kusocki-v-masle-s-ukropom-400g-3622071	spb	Санкт-Петербург, Биржевая площадь, 4	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Балтийский Берег по-царски филе-кусочки в масле, 400г	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-po-carski-file-kusocki-v-masle-400g-3621742	spb	Санкт-Петербург, Биржевая площадь, 4	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь атлантическая Матиас XXL отборная филе слабосолёное в масле, 300г	https://www.perekrestok.ru/cat/812/p/seld-atlanticeskaa-matias-xxl-otbornaa-file-slabosolenoe-v-masle-300g-4147685	spb	Санкт-Петербург, Биржевая площадь, 4	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Матиас ХХL Отборная филе-кусочки в масле, 200г	https://www.perekrestok.ru/cat/812/p/seld-matias-hhl-otbornaa-file-kusocki-v-masle-200g-3497722	spb	Санкт-Петербург, Биржевая площадь, 4	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Балтийский Берег по-царски филе-кусочки в масле с дымком, 400г	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-po-carski-file-kusocki-v-masle-s-dymkom-400g-3622072	spb	Санкт-Петербург, Биржевая площадь, 4	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь филе Санта Бремор Матиас свежая зелень, 250г	https://www.perekrestok.ru/cat/812/p/seld-file-santa-bremor-matias-svezaa-zelen-250g-3164086	spb	Санкт-Петербург, Биржевая площадь, 4	189,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Балтийский Берег по-царски тихоокеанская филе в масле, 400г	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-po-carski-tihookeanskaa-file-v-masle-400g-3682728	spb	Санкт-Петербург, Биржевая площадь, 4	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Русское Море Исландка филе-кусочки в белом вине, 115г	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-islandka-file-kusocki-v-belom-vine-115g-3463469	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь тихоокеанская соленая филе-кусочки в масле Пр!ст, 200г	https://www.perekrestok.ru/cat/812/p/seld-tihookeanskaa-solenaa-file-kusocki-v-masle-pr-st-200g-4322376	spb	Санкт-Петербург, Биржевая площадь, 4	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь тихоокеанская солёная филе-кусочки в масле с укропом Пр!ст,  200г	https://www.perekrestok.ru/cat/812/p/seld-tihookeanskaa-solenaa-file-kusocki-v-masle-s-ukropom-pr-st-200g-4323336	spb	Санкт-Петербург, Биржевая площадь, 4	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Балтийский Берег филе-кусочки в сырном соусе, 200г	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-file-kusocki-v-syrnom-souse-200g-2035092	spb	Санкт-Петербург, Биржевая площадь, 4	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Филе сельди без кожи в масляной заливке	https://www.perekrestok.ru/cat/812/p/file-seldi-bez-kozi-v-maslanoj-zalivke-4159336	spb	Санкт-Петербург, Биржевая площадь, 4	449,99 ₽/кг	Sun Jul  7 23:20:00 2024
Коктейль из морепродуктов Балтийский Берег варёный в маринаде, 390г	https://www.perekrestok.ru/cat/812/p/koktejl-iz-moreproduktov-baltijskij-bereg-varenyj-v-marinade-390g-4045868	spb	Санкт-Петербург, Биржевая площадь, 4	289,99 ₽/шт	Sun Jul  7 23:20:00 2024
Коктейль из морепродуктов Балтийский Берег оливковый маре варёный в масле, 380г	https://www.perekrestok.ru/cat/812/p/koktejl-iz-moreproduktov-baltijskij-bereg-olivkovyj-mare-varenyj-v-masle-380g-4045867	spb	Санкт-Петербург, Биржевая площадь, 4	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
