name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Напиток Nemiroff Коктейль слабоалкогольный со вкусом дыни текилы лайма 7%, 330мл	83,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/11/p/napitok-nemiroff-koktejl-slaboalkogolnyj-so-vkusom-dyni-tekily-lajma-7-330ml-4297346	Wed Jul  3 15:05:38 2024	Напиток Nemiroff Коктейль слабоалкогольный со вкусом дыни текилы лайма 7%, 330мл	Цена87,99 ₽	Nemiroff	75.0	0.0 г	0.0 г	8.5 г	Вода питьевая, сахар, спирт этиловый ректификованный из пищевого сырья «Люкс», текила, концентрированный сок лайма, регулятор кислотности – лимонная кислота, натуральные ароматизаторы, краситель - тартразин, консервант - бензоат натрия. 	True	True	Sat Jul  6 00:19:49 2024
Напиток Nemiroff слабоалкогольный спиртованный газированный со вкусом ананаса рома и кокоса, 330мл	85,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/11/p/napitok-nemiroff-slaboalkogolnyj-spirtovannyj-gazirovannyj-so-vkusom-ananasa-roma-i-kokosa-330ml-4267795	Wed Jul  3 15:05:38 2024	Напиток Nemiroff слабоалкогольный спиртованный газированный со вкусом ананаса рома и кокоса, 330мл	Цена85,99 ₽	Nemiroff	70.0	0.0 г	0.0 г	7.0 г	Вода питьевая, сахар, спирт этиловый ректификованный из пищевого сырья Люкс, ром, концентрированные соки: яблочный, лимонный, ананасовый, регулятор кислотности-лимонная кислота, стабилизаторы: ксантановая камедь и гуммиарабик, натуральные ароматизаторы, краситель синий патентованный V, консерванты бензоат натрия, сорбат калия. 	True	True	Sat Jul  6 00:19:50 2024
Напиток Nemiroff спиртованный газированный со вкусом ежевики рома и лайма, 330мл	85,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/11/p/napitok-nemiroff-spirtovannyj-gazirovannyj-so-vkusom-ezeviki-roma-i-lajma-330ml-4267799	Wed Jul  3 15:05:38 2024	Напиток Nemiroff спиртованный газированный со вкусом ежевики рома и лайма, 330мл	Цена85,99 ₽	Nemiroff	80.0	0.0 г	0.0 г	8.5 г	Вода питьевая, сахар, спирт этиловый ректификованный из пищевого сырья Люкс, концентрированные соки: яблочный, ежевичный, лимонный, ром, регулятор кислотности-лимонная кислота, натуральные ароматизаторы, красители: сахарный колер IV, кармуазин, индигокармин, консерванты: бензоат натрия, сорбат калия. 	True	True	Sat Jul  6 00:19:50 2024
Напиток слабоалкогольный Relax Royal Dream газированный 5.5%, 330мл	104,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/11/p/napitok-slaboalkogolnyj-relax-royal-dream-gazirovannyj-5-5-330ml-4233118	Wed Jul  3 15:05:38 2024	Напиток слабоалкогольный Relax Royal Dream газированный 5.5%, 330мл	Цена104,99 ₽	Relax	55.0	0.0 г	0.0 г	5.5 г	Вода подготовленная, спирт этиловый ректификованный из пищевого сырья «Люкс», сахар, регуляторы кислотности: лимонная кислота, Е331; смесь пищевая сладкая «Мармикс Алко» (фруктоза, подсластители: Е950, Е954, Е955), ароматизаторы, комплексная пищевая добавка «Замутнитель» (стабилизаторы: Е414 Е445; регуляторы кислотности: Е270, Е330; консервант Е202, антиокислитель Е307), консерванты: бензоат натрия, сорбат калия; концентрированный сок лайма. 	True	True	Sat Jul  6 00:19:51 2024
Напиток Feellini Dessert Citrus слабоалкогольный газированный 5.5%, 330мл	63,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/11/p/napitok-feellini-dessert-citrus-slaboalkogolnyj-gazirovannyj-5-5-330ml-4151627	Wed Jul  3 15:05:38 2024	Напиток Feellini Dessert Citrus слабоалкогольный газированный 5.5%, 330мл	Цена63,99 ₽	Feellin	55.0	0.0 г	0.0 г	6.0 г	Исправленная вода, джин Feellini Dry Gin, (исправленная вода; спирт этиловый ректификованный из пищевого сырья Люкс; настой спиртованный из можжевёловой ягоды, зерна кориандра и кардамона, корки померанца; ароматизаторы пищевые натуральные - Тип Джин, Кориандр), сахар, мальтодекстрин, регулятор кислотности - лимонная кислота, стабилизатор - цитрат натрия, ароматизаторы пищевые - Джин, Тоник, Вкус Грейпфрута, консервант - Е211 - бензоат натрия, сок лайма концентрированный, красители - Е129, Е102. 	True	True	Sat Jul  6 00:19:52 2024
Соджу Jinro со вкусом и ароматом клубники 13%, 360мл	549,99 ₽/шт	360 мл	https://www.perekrestok.ru/cat/11/p/sodzu-jinro-so-vkusom-i-aromatom-klubniki-13-360ml-4063715	Wed Jul  3 15:05:38 2024	Соджу Jinro со вкусом и ароматом клубники 13%, 360мл	Цена549,99 ₽	Jinro	115.4	0.0 г	0.0 г	10.0 г	Спирт этиловый ректификованный из пищевого сырья, Вода питьевая исправленная, сироп фруктозы, Ароматизатор клубника. 	True	True	Sat Jul  6 00:19:54 2024
Соджу Jinro со вкусом и ароматом грейпфрута 13%, 360мл	549,99 ₽/шт	360 мл	https://www.perekrestok.ru/cat/11/p/sodzu-jinro-so-vkusom-i-aromatom-grejpfruta-13-360ml-4063710	Wed Jul  3 15:05:38 2024	Соджу Jinro со вкусом и ароматом грейпфрута 13%, 360мл	Цена549,99 ₽	Jinro	139.7	0.0 г	0.0 г	12.0 г	Спирт этиловый ректификованный из пищевого сырья, Вода питьевая исправленная, сироп фруктозы, Ароматизатор грейпфрут. 	True	True	Sat Jul  6 00:19:54 2024
Напиток Джин-тоник классический слабоалкогольный 7.2%, 450мл	124,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/11/p/napitok-dzin-tonik-klassiceskij-slaboalkogolnyj-7-2-450ml-3977131	Wed Jul  3 15:05:38 2024	Напиток Джин-тоник классический слабоалкогольный 7.2%, 450мл	Цена129,99 ₽	Джин-Тоник	70.0	0.0 г	0.0 г	8.0 г	Вода подготовленная; глюкозно-фруктозный сироп (Г*) и сахар или сахар (С*); спирт этиловый ректификованный из пищевого сырья Люкс; регулятор кислотности лимонная кислота; натуральные ароматизаторы (хинин); ароматизатор; консервант бензоат натрия; джин. 	True	True	Sat Jul  6 00:19:56 2024
Напиток слабоалкогольный Hooch Супер со вкусом грейпфрута газированный 7.2%, 450мл	119,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/11/p/napitok-slaboalkogolnyj-hooch-super-so-vkusom-grejpfruta-gazirovannyj-7-2-450ml-3969441	Wed Jul  3 15:05:38 2024	Напиток слабоалкогольный Hooch Супер со вкусом грейпфрута газированный 7.2%, 450мл	Цена119,99 ₽	Hooch	75.0	0.0 г	0.0 г	8.0 г	Вода питьевая подготовленная, сахар, спирт этиловый ректификованный из пищевого сырья «Люкс», соки лимонный и белого грейпфрута концентрированные, регулятор кислотности кислота лимонная, ароматизаторы пищевые, в том числе натуральные (антиокислитель альфа-токоферол, апельсиновое масло, стабилизатор гуммиарабик, консервант бензоат натрия), антиокислитель кислота аскорбиновая, краситель каротины. 	True	True	Sat Jul  6 00:19:56 2024
Напиток слабоалкогольный Hooch Супер со вкусом чёрной смородины газированный 7.2%, 450мл	139,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/11/p/napitok-slaboalkogolnyj-hooch-super-so-vkusom-cernoj-smorodiny-gazirovannyj-7-2-450ml-3969442	Wed Jul  3 15:05:38 2024	Напиток слабоалкогольный Hooch Супер со вкусом чёрной смородины газированный 7.2%, 450мл	Цена119,99 ₽	Hooch	80.0	0.0 г	0.0 г	9.5 г	Вода питьевая подготовленная, сахар, спирт этиловый ректификованный из пищевого сырья «Люкс», соки яблочный и чёрной смородины концентрированные, регулятор кислотности кислота лимонная, ароматизатор пищевой, антиокислитель кислота аскорбиновая. 	True	True	Sat Jul  6 00:19:57 2024
