name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Рыба Горбуша ломтики, 150г	144,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/ryba-gorbusa-lomtiki-150g-3306370	Wed Jul  3 15:04:16 2024	Рыба Горбуша ломтики, 150г	Цена178,99 ₽	Олива	129.0	10.0 г	10.0 г	0.0 г	. 	True	True	Fri Jul  5 23:06:10 2024
Форель радужная филе-кусок слабосолёная Пр!ст, 130г	289,99 ₽/шт	130 гр	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-file-kusok-slabosolenaa-pr-st-130g-4066444	Wed Jul  3 15:04:16 2024	Форель радужная филе-кусок слабосолёная Пр!ст, 130г	Цена289,99 ₽	Пр!ст	140.0	22.0 г	6.0 г	0.0 г	Форель радужная (продукция аквакультуры), соль, консерванты (е-202, е-211). 	True	True	Fri Jul  5 23:06:11 2024
Форель Рыба-Рыба радужная слабосолёная филе-ломтики, 100г	229,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/812/p/forel-ryba-ryba-raduznaa-slabosolenaa-file-lomtiki-100g-4349602	Wed Jul  3 15:04:16 2024	Форель Рыба-Рыба радужная слабосолёная филе-ломтики, 100г	Цена229,99 ₽	Рыба-Рыба	143.0	15.5 г	9.0 г	0.0 г	Рыба (форель радужная), соль, консервант (бензоат натрия). 	True	True	Fri Jul  5 23:06:11 2024
Горбуша 3 Fish слабосолёная кусочки для бутербродов, 80г	114,99 ₽/шт	80 мл	https://www.perekrestok.ru/cat/812/p/gorbusa-3-fish-slabosolenaa-kusocki-dla-buterbrodov-80g-3671589	Wed Jul  3 15:04:16 2024	Горбуша 3 Fish слабосолёная кусочки для бутербродов, 80г	Цена114,99 ₽	3 Fish	169.0	22.0 г	9.0 г	0.0 г	Горбуша кусочки, соль пищевая, комплексная пищевая добавка (регуляторы кислотности: цитрат натрия, ацетат натрия, лимонная кислота, сахароза), консерванты (бензоат натрия, сорбат калия), пищевые красители (Е124, Е110). 	True	True	Fri Jul  5 23:06:12 2024
Форель радужная филе-ломтики слабосоленая Маркет, 120г	199,99 ₽/шт	120 мл	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-file-lomtiki-slabosolenaa-market-120g-4299647	Wed Jul  3 15:04:16 2024	Форель радужная филе-ломтики слабосоленая Маркет, 120г	Цена199,99 ₽	Маркет	112.0	19.0 г	4.0 г	0.0 г	Форель, соль пищевая, консерванты: бензоат натрия, сорбат калия. 	True	True	Fri Jul  5 23:06:13 2024
Форель радужная Меридиан  филе-ломтики слабосолёная, 120г	279,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-meridian-file-lomtiki-slabosolenaa-120g-11778	Wed Jul  3 15:04:16 2024	Форель радужная Меридиан  филе-ломтики слабосолёная, 120г	Цена279,99 ₽	Меридиан	178.0	22.0 г	12.0 г	0.0 г	Форель, соль поваренная пищевая, консерванты Е202, Е211. 	True	True	Fri Jul  5 23:06:14 2024
Форель Сильвер Фиш слабосолёная филе ломтики, 100г	299,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/175/p/forel-silver-fis-slabosolenaa-file-lomtiki-100g-4341150	Wed Jul  3 15:04:16 2024	Форель Сильвер Фиш слабосолёная филе ломтики, 100г	Цена259,99 ₽	Сильвер Фиш	146.0	22.0 г	4.0 г	0.0 г	none	True	True	Fri Jul  5 23:06:15 2024
Семга Gustafsen филе-кусок солёная, 150г	499,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/175/p/semga-gustafsen-file-kusok-solenaa-150g-4357050	Wed Jul  3 15:04:16 2024	Семга Gustafsen филе-кусок солёная, 150г	Цена499,99 ₽	Gustafsen	210.0	23.0 г	13.0 г	0.0 г	Семга (продукция аквакультуры), соль, консерванты (Е 202, Е 211). 	True	True	Fri Jul  5 23:06:16 2024
Филе сельди атлантической слабосоленое в масле Маркет, 250г	159,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/file-seldi-atlanticeskoj-slabosolenoe-v-masle-market-250g-4275608	Wed Jul  3 15:04:16 2024	Филе сельди атлантической слабосоленое в масле Маркет, 250г	Цена149,99 ₽	Маркет	340.0	10.0 г	33.0 г	0.0 г	Филе сельди, масло: подсолнечное (с) или рапсовое (d), соль, регуляторы кислотности: винная, лимонная кислоты, усилитель вкуса и аромата глутамат натрия 1-замещенный, консерванты: бензоат натрия, сорбат калия. 	True	True	Fri Jul  5 23:06:17 2024
Сельдь Атлантика Малосольная филе-кусочки в масле, 240г	149,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/175/p/seld-atlantika-malosolnaa-file-kusocki-v-masle-240g-4056953	Wed Jul  3 15:04:16 2024	Сельдь Атлантика Малосольная филе-кусочки в масле, 240г	Цена129,99 ₽	Атлантика	198.0	18.0 г	14.0 г	0.0 г	Сельдь атлантическо-скандинавская малосольная(сельдь, соль пищевая, регулятор кислотности-уксусная кислота ледяная, консерванты:сорбат калия, бензоат натрия), масло подсолнечное рафинированное дезодорированное. 	True	True	Fri Jul  5 23:06:19 2024
