name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Борщ И зимой и летом с курицей, 300г	159,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/56/p/bors-i-zimoj-i-letom-s-kuricej-300g-4309238	Wed Jul  3 15:04:25 2024	Борщ И зимой и летом с курицей, 300г	Цена159,99 ₽	И зимой и летом	35.0	1.7 г	0.5 г	5.8 г	none	True	True	Fri Jul  5 23:11:58 2024
Хотстеры Горячая штучка, 250г	209,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/56/p/hotstery-goracaa-stucka-250g-3435321	Wed Jul  3 15:04:25 2024	Хотстеры Горячая штучка, 250г	Цена209,99 ₽	Горячая штучка	210.0	8.0 г	12.0 г	17.0 г	Сосиски (мясо цыпленка-бройлера механической обвалки, мясо цыпленка-бройлера кусковое, белковый стабилизатор (шкурка свиная, вода), филе куриных грудок, вода питьевая, свинина, крахмал картофельный, молоко сухое, соль, нитритная соль (соль, фиксатор окраски: нитрит натрия), пряности и экстракты пряностей, стабилизатор: пирофосфат натрия, загустители (гуаровая камедь, каррагинан из водорослей euchеma), антиокислители (аскорбиновая кислота, лимонная кислота), краситель: кармины), тесто (мука пшеничная высший сорт, вода питьевая, сухари панировочные (мука пшеничная, вода питьевая), продукты яичные, молоко сухое, соль, овощи сушеные, масло растительное, крахмал кукурузный, разрыхлитель: гидрокарбонат натрия, сахар, чеснок, перец душистый, перец черный молотый, перец белый молотый). 	True	True	Fri Jul  5 23:11:59 2024
Филе хека Vici в панировке, 300г	179,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/56/p/file-heka-vici-v-panirovke-300g-3437527	Wed Jul  3 15:04:25 2024	Филе хека Vici в панировке, 300г	Цена179,99 ₽	Vici	173.5	11.5 г	15.2 г	7.4 г	Филе хека, панировка (сухари панировочные (мука пшеничная, соль, дрожжи, специи (содержит: эмульгатор е472е, антиокислитель е307), вода, масло рапсовое, мука пшеничная, крахмал модифицированный пшеничный, крахмал тапиоковый, петрушка). 	True	True	Fri Jul  5 23:12:00 2024
Паэлья 4 Сезона, 600г	639,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/56/p/paela-4-sezona-600g-728	Wed Jul  3 15:04:25 2024	Паэлья 4 Сезона, 600г	Цена639,99 ₽	4 Сезона	130.0	8.0 г	3.0 г	17.0 г	Рис, филе грудки цыпленка, креветки, мясо мидий, кальмары, зеленый горошек, сладкий перец, лук, растительное масло, приправы, специи, соль, натуральные ароматизаторы. 	True	True	Fri Jul  5 23:12:01 2024
Чебупицца Горячая штучка Пепперони, 250г	219,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/56/p/cebupicca-goracaa-stucka-pepperoni-250g-3416332	Wed Jul  3 15:04:25 2024	Чебупицца Горячая штучка Пепперони, 250г	Цена194,99 ₽	Горячая штучка	270.0	9.0 г	12.0 г	32.0 г	Начинка (колбаса варено-копченая пепперони (говядина, шпик, свинина, филе куриных грудок, вода питьевая, белок соевый, молоко сухое, крахмал картофельный, нитритная соль (соль, фиксатор окраски: нитрит натрия), пряности, стабилизатор: полифосфат натрия), крахмал кукурузный, пшеничная клетчатка, продукт белковый с сыром mozzarella (сыворотка молочная, сыр (молоко пастеризованное, бактериальная закваска мезофильно-термофильных молочнокислых микроорганизмов, сычужный фермент животного происхождения), масло растительное, соль, регулятор кислотности: фосфаты калия, краситель: каротины), соль, томат сушеный, продукты яичные, пряности и экстракты пряностей (кориандр, чеснок, петрушка, перец, паприка, орегано, чили, кумин, имбирь), перец болгарский, антиокислитель: аскорбиновая кислота, загустители (гуаровая камедь, ксантановая камедь, тары камедь, конжак, каррагинан из водорослей euchema), краситель: экстракт паприки); тесто (мука пшеничная высший сорт, вода питьевая, масло растительное, продукты яичные, соль, сахар, картофельные хлопья (картофель свежий, краситель: куркумин), молоко сухое, дрожжи хлебопекарные, регуляторы кислотности (лимонная кислота, пирофосфаты), краситель: каротины); обсыпка (пряности (чеснок, паприка, перец душистый, перец чили), масло растительное, регулятор кислотности: молочная кислота). 	True	True	Fri Jul  5 23:12:03 2024
Кордон блю Мираторг с ветчиной и сыром, 405г	329,99 ₽/шт	405 гр	https://www.perekrestok.ru/cat/56/p/kordon-blu-miratorg-s-vetcinoj-i-syrom-405g-3434303	Wed Jul  3 15:04:25 2024	Кордон блю Мираторг с ветчиной и сыром, 405г	Цена329,99 ₽	Мираторг	209.0	11.6 г	12.5 г	12.4 г	Мясо куриное, вода питьевая, мука (пшеничная, кукурузная), сыр плавленый (молоко пастеризованное, соль, бактериальная закваска мезофильных и термофильных молочнокислых бактерий, молокослеживающий ферментный препарат животного происхождения, уплотнитель хлорид кальция, краситель аннато, заменитель молочного жира (масла растительные, эмульгатор лецитины, красители (аннато, куркумин)), белок молочный, крахмал кукурузный, регулятор кислотности молочная кислота, сахар, консерванты (сорбат калия, нитрат калия), масло подсолнечное, ветчина (свинина, вода питьевая, крахмал картофельный, соль, имбирь, ароматизатор натуральный, стабилизаторы (е1442, ксантановая камедь), сахар, усилитель вкуса и аромата е621, антиокислитель изоаскорбат натрия, загуститель конжаковая камедь, фиксатор окраски нитрит натрия), соль, белок соевый, крахмал (картофельный, кукурузный), сироп глюкозный сухой (крахмал кукурузный), дрожжи, экстракт дрожжевой (ячмень), антиокислитель, аскорбиновая кислота, волокна пищевые (клетчатка пшеничная), загуститель гуаровая камедь, куркума, паприка, красители (аннато, экстракт паприки), ароматизатор натуральный, ароматизатор. 	True	True	Fri Jul  5 23:12:04 2024
Чебупели Горячая штучка сочные с мясом, 300г	189,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/56/p/cebupeli-goracaa-stucka-socnye-s-masom-300g-3373886	Wed Jul  3 15:04:25 2024	Чебупели Горячая штучка сочные с мясом, 300г	Цена189,99 ₽	Горячая штучка	240.0	7.0 г	11.0 г	28.0 г	Фарш (говядина, вода питьевая, лук репчатый свежий, мясо цыпленка-бройлера механической обвалки, свинина, соевый белок, масло растительное, пшеничная клетчатка, соль, крахмал кукурузный, перец черный молотый, укроп сухой, петрушка сухая, перец красный молотый, горчица, гемоглобин, регуляторы кислотности (трифосфаты, лимонная кислота), антиокислитель: аскорбиновая кислота), тесто (мука пшеничная высшего сорта, вода питьевая, масло растительное, картофельные хлопья (картофель свежий, краситель: куркумин), соль, сахар, молоко сухое, дрожжи хлебопекарные, регуляторы кислотности (лимонная кислота, пирофосфаты), эмульгатор: соевый лецитин). 	True	True	Fri Jul  5 23:12:04 2024
Чебупицца Горячая штучка Курочка по-итальянски, 250г	189,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/56/p/cebupicca-goracaa-stucka-kurocka-po-italanski-250g-3421780	Wed Jul  3 15:04:25 2024	Чебупицца Горячая штучка Курочка по-итальянски, 250г	Цена199,99 ₽	Горячая штучка	270.0	8.0 г	13.0 г	29.0 г	Начинка (ветчина (мясо цыпленка-бройлера кусковое, вода питьевая, крахмал кукурузный, филе куриных грудок, белковый стабилизатор (шкурка свиная, вода питьевая), смесь посолочно-нитритная (соль, фиксатор окраски: нитрит натрия), соль, стабилизаторы (пирофосфаты,  полифосфаты), клетчатка пшеничная, регулятор кислотности: лактат кальция, антиокислители (лимонная кислота, аскорбиновая кислота, краситель: кармины, вода питьевая, сыр «моцарелла» (сыр обезжиренный обезжиренное молоко пастеризованное, закваска молочнокислых культур, уплотнитель: хлорид кальция, молокосвёртывающий ферментный препарат микробного происхождения), масло сливочное. сливки пастеризованные, вода питьевая, концентрат молочного белка, сыр жирный (молоко пастеризованное, закваска мезофильных и термофильных молочнокислых микроорганизмов, соль, молокосвёртывающий ферментный препарат микробного происхождения, консервант: нитрат натрия), соль, эмульгатор: полифосфаты), продукт белковый с заменителем молочного жира, произведённый по технологии полутвердых сыров (молоко пастеризованное, заменитель молочного жира (рафинированные дезодорированные растительные масла в натуральном и модифицированном виде, в том числе соевое, эмульгатор. моно- и диглицериды жирных кислот, антиокислитель: концентрат смеси токоферолов, краситель: каротины), соль, уплотнитель: хлорид кальция, молокосвёртывающий ферментный препарат микробного происхождения, краситель: аннато, закваска мезофильных и термофильных молочнокислых микроорганизмов, консервант: нитрат натрия), регуляторы кислотности (карбонаты натрия, трифосфаты, молочная кислота, уксусная кислота), продукты яичные, пряности (в т.ч. горчица), грибы шампиньоны, сахар, ароматизаторы, натуральные красители (куркумин, экстракт паприки)), тесто (мука пшеничная хлебопекарная высший сорт, вода питьевая, картофель свежий, соль, масло растительное, продукты яичные, сахар, дрожжи хлебопекарные, молоко сухое, сывороточные белки, пряности, регулятор кислотности: лимонная кислота, эмульгатор: моно- и диглицериды жирных кислот, стабилизатор: пирофосфаты, антиокислитель: аскорбилпальмитат, ароматизаторы, краситель: каротины). 	True	True	Fri Jul  5 23:12:05 2024
Лазанья Золотой Петушок с соусом Болоньез, 370г	249,99 ₽/шт	370 гр	https://www.perekrestok.ru/cat/56/p/lazana-zolotoj-petusok-s-sousom-bolonez-370g-2120574	Wed Jul  3 15:04:25 2024	Лазанья Золотой Петушок с соусом Болоньез, 370г	Цена229,99 ₽	Золотой Петушок	116.9	7.4 г	3.7 г	13.5 г	Соус (вода питьевая, говядина, морковь, мясо цыпленка механической обвалки, паста томатная, молоко сухое обезжиренное, мукапшеничная высшего сорта, масло сливочное, лук репчатый, соль, крахмал кукурузный, сахар, масло растительное, пряности, зеленьпетрушки сушеная, базилик сушеный). тесто для лазаньи (мука из твердой пшеницы высшего сорта, вода питьевая, глютен пшеничный); сыр(молоко пастеризованное, соль поваренная пищевая, закваска термофильных и мезофильных молочнокислых микроорганизмов,молокосвертывающий ферментный препарат микробного происхождения, консервант нитрат калия, краситель аннато, уплотнитель хлоридкальция). продукт может содержать следы белка соевого, продуктов яичных, порошка горчичного, кунжута, сельдерея. 	True	True	Fri Jul  5 23:12:06 2024
Чебупели Горячая штучка с ветчиной и сыром, 300г	199,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/56/p/cebupeli-goracaa-stucka-s-vetcinoj-i-syrom-300g-3395673	Wed Jul  3 15:04:25 2024	Чебупели Горячая штучка с ветчиной и сыром, 300г	Цена194,99 ₽	Горячая штучка	320.0	7.0 г	15.0 г	40.0 г	Начинка (ветчина (свинина, мясо цыпленка-бройлера кусковое, вода питьевая, крахмал картофельный, белковый стабилизатор (шкурка свиная, вода), нитритная соль (соль, фиксатор окраски: нитрит натрия), соль, антиокислитель: лимонная кислота, пряности, стабилизатор: полифосфаты, загустители (ксантановая камедь, каррагинан из водорослей euchema), краситель: кармины), продукт плавленый с сыром сыр cheddar (вода питьевая, масло растительное, крахмал кукурузный, крахмал пшеничный, сухое молоко, сыворотка молочная, сыр (молоко пастеризованное, бактериальная закваска мезофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения), соль, загуститель: гуаровая камедь, краситель: экстракт паприки), пшеничная клетчатка, соль, масло растительное, продукты яичные, горчица, экстракт перца, загустители (тары камедь, конжак), чеснок, краситель: аннато), тесто (мука пшеничная высшего сорта, вода питьевая, продукты яичные, соль, сахар, картофельные хлопья (картофель свежий, краситель: куркумин), молоко сухое, дрожжи хлебопекарные, масло растительное, регуляторы кислотности (лимонная кислота, пирофосфаты), эмульгатор: соевый лецитин). 	True	True	Fri Jul  5 23:12:07 2024
Лазанья мясная Золотой Петушок, 370г	199,99 ₽/шт	370 гр	https://www.perekrestok.ru/cat/56/p/lazana-masnaa-zolotoj-petusok-370g-2157530	Wed Jul  3 15:04:25 2024	Лазанья мясная Золотой Петушок, 370г	Цена219,99 ₽	Золотой Петушок	142.1	7.6 г	4.1 г	18.7 г	Мука из твердой пшеницы, вода питьевая, мясо цыпленка механической обвалки, сыр, лук, мука пшеничная, паста томатная, молоко обезжиренное сухое, масло сливочное, мякоть помидоров, соль пищевая, крахмал кукурузный, чеснок сушеный, усилитель вкуса и аромата глутамат натрия, глютен пшеничный, пряности, зелень петрушки сушеная, базилик. 	True	True	Fri Jul  5 23:12:08 2024
Оладьи С Пылу С Жару Оладушки, 280г	104,99 ₽/шт	280 гр	https://www.perekrestok.ru/cat/56/p/oladi-s-pylu-s-zaru-oladuski-280g-3371860	Wed Jul  3 15:04:25 2024	Оладьи С Пылу С Жару Оладушки, 280г	Цена99,99 ₽	С пылу с жару	183.0	5.4 г	1.0 г	38.0 г	none	True	True	Fri Jul  5 23:12:09 2024
Тесто Тестов для чебуреков, 500г	109,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/56/p/testo-testov-dla-ceburekov-500g-3608912	Wed Jul  3 15:04:25 2024	Тесто Тестов для чебуреков, 500г	Цена109,99 ₽	Тестовъ	249.0	8.0 г	1.0 г	52.0 г	Мука пшеничная в/с, вода питьевая, яйцо куриное, соль, масло подсолнечное, крахмал кукурузный. 	True	True	Fri Jul  5 23:12:09 2024
Тесто слоёное Звёздное бездрожжевое, 500г	129,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/56/p/testo-sloenoe-zvezdnoe-bezdrozzevoe-500g-7314	Wed Jul  3 15:04:25 2024	Тесто слоёное Звёздное бездрожжевое, 500г	Цена149,99 ₽	Хлебный Дом	445.0	7.2 г	24.6 г	47.8 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, маргарин (масла растительные рафинированные дезодорированные, вода, ароматизатор натуральный), соль, регулятор кислотности - кислота лимонная. 	True	True	Fri Jul  5 23:12:10 2024
Тесто слоёное Звёздное дрожжевое, 500г	129,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/56/p/testo-sloenoe-zvezdnoe-drozzevoe-500g-35541	Wed Jul  3 15:04:25 2024	Тесто слоёное Звёздное дрожжевое, 500г	Цена154,99 ₽	Хлебный Дом	414.0	7.3 г	20.9 г	48.6 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, маргарин (масла растительные рафинированные дезодорированные, вода, ароматизатор натуральный), дрожжи хлебопекарные, сахар, соль, улучшитель хлебопекарный (клейковина пшеничная, эмульгатор-эфиры глицерина и диацетилвинной и жирных кислот, мука пшеничная первого сорта, ферментный препарат (антиокислитель – кислота аскорбиновая, ферменты микробного происхождения)). 	True	True	Fri Jul  5 23:12:11 2024
Тесто слоёное Морозко бездрожжевое, 1кг	319,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/56/p/testo-sloenoe-morozko-bezdrozzevoe-1kg-3023785	Wed Jul  3 15:04:25 2024	Тесто слоёное Морозко бездрожжевое, 1кг	Цена299,99 ₽	Морозко	370.0	5.3 г	21.9 г	37.9 г	Мука пшеничная хлебопекарная высшего сорта, маргарин (масло растительное, вода питьевая, эмульгаторы: моно и диглицериды жирных кислот, соевый лецитин; соль, сахар, консервант сорбат калия, краситель каротин, антиокислитель аскорбиновая кислота), вода питьевая, соль. 	True	True	Fri Jul  5 23:12:12 2024
Тесто слоёное Морозко дрожжевое, 1кг	319,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/56/p/testo-sloenoe-morozko-drozzevoe-1kg-2167031	Wed Jul  3 15:04:25 2024	Тесто слоёное Морозко дрожжевое, 1кг	Цена299,99 ₽	Морозко	361.0	5.9 г	18.9 г	41.8 г	Мука пшеничная хлебопекарная высшего сорта, маргарин (масло растительное, вода питьевая, эмульгаторы: моно и диглицериды жирных кислот, соевый лецитин; соль, сахар, консервант сорбат калия, краситель каротин, антиокислитель аскорбиновая кислота), вода питьевая, сахар, дрожжи хлебопекарные прессованные, соль, комплексная пишевая добавка (пшеничная клейковина, антиокислитель аскорбиновая кислота, ферментные препараты: альфа-амилаза и гемицеллюлаза). продукт может содрежать следы молочных, яичных и горчичных продуктов. 	True	True	Fri Jul  5 23:12:12 2024
Тесто дрожжевое Морозко, 1кг	229,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/56/p/testo-drozzevoe-morozko-1kg-3087558	Wed Jul  3 15:04:25 2024	Тесто дрожжевое Морозко, 1кг	Цена229,99 ₽	Морозко	270.0	6.5 г	5.3 г	49.0 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, маргарин для выпечки (масло пальмовое рафинированное дезодорированное, масло растительное - смесь (масло подсолнечное рафинированное дезодорированное, масло рапсовое рафинированное дезодорированное), вода питьевая, эмульгаторы: моно и диглицериды жирных кислот; консервант сорбат калия, регилятор кислотности лимонная кислота, ароматизатор, краситель каротины), сахар, дрожжи хлебопекарные прессованные, соль. 	True	True	Fri Jul  5 23:12:13 2024
Тесто слоёное Морозко бездрожжевое лёгкое, 500г	129,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/56/p/testo-sloenoe-morozko-bezdrozzevoe-legkoe-500g-3277324	Wed Jul  3 15:04:25 2024	Тесто слоёное Морозко бездрожжевое лёгкое, 500г	Цена129,99 ₽	Морозко	332.0	5.6 г	16.4 г	40.5 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, маргарин (масло растительное, вода питьевая, эмульгаторы: мони и диглицериды жирных кислот, соевый лецитин; соль, сахар, консервант сорбат калия, регулятор кислотности лимонная кислота, ароматизатор, краситель каротин, антиокислитель лимонная кислота), соль. 	True	True	Fri Jul  5 23:12:14 2024
Тесто слоёное Морозко бездрожжевое, 400г	109,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/56/p/testo-sloenoe-morozko-bezdrozzevoe-400g-2068983	Wed Jul  3 15:04:25 2024	Тесто слоёное Морозко бездрожжевое, 400г	Цена109,99 ₽	Морозко	368.0	5.5 г	21.9 г	37.9 г	Мука пшеничная хлебопекарная высшего сорта, маргарин (дезодорированные растительные масла, вода, эмульгаторы е471, е475, соль поваренная, консервант сорбат калия, лимонная кислота, ароматизатор идентичный натуральному сливочное масло, красители куркумин и аннато), вода питьевая, соль поваренная пищевая. 	True	True	Fri Jul  5 23:12:15 2024
Тесто Тестов для пельменей, 360г	109,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/56/p/testo-testov-dla-pelmenej-360g-3443131	Wed Jul  3 15:04:25 2024	Тесто Тестов для пельменей, 360г	Цена109,99 ₽	Тестовъ	250.0	9.0 г	1.0 г	52.0 г	Мука пшеничная в/с, вода питьевая, крахмал кукурузный, яйцо сухое(меланж), соль поваренная пищевая, масло подсолнечное. 	True	True	Fri Jul  5 23:12:16 2024
