name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сушки Ладожский малышок горчичные Зелёная Линия, 300г	53,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/199/p/suski-ladozskij-malysok-gorcicnye-zelenaa-linia-300g-4066393	Wed Jul  3 15:03:08 2024	Сушки Ладожский малышок горчичные Зелёная Линия, 300г	Цена53,99 ₽	Зелёная Линия	360.0	10.0 г	4.0 г	72.0 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, сахар белый, масло горчичное, дрожжи хлебопекарные прессованные, соль пищевая. Продукт может содержать следы арахиса, кунжута, яиц, молока и продуктов их переработки. 	True	True	Fri Jul  5 21:59:11 2024
Баранки Волжский Пекарь Волжские горчичные, 300г	81,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/199/p/baranki-volzskij-pekar-volzskie-gorcicnye-300g-4315708	Wed Jul  3 15:03:08 2024	Баранки Волжский Пекарь Волжские горчичные, 300г	Цена73,99 ₽	Волжский Пекарь	340.0	9.5 г	5.0 г	65.0 г	Мука пшеничная хлебопекарная первого сорта, вода питьевая, сахар белый, масло подсолнечное рафинированное дезодорированное, горчичный порошок, соль, дрожжи хлебопекарные прессованные, масло горчичное, яичный порошок, консервант - пропионат кальция, краситель - каротины, ароматизатор пищевой натуральный «Масло эфирное горчичное». 	True	True	Fri Jul  5 21:59:12 2024
Сушки Хлебный Дом Горчичные, 250г	65,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/199/p/suski-hlebnyj-dom-gorcicnye-250g-4315717	Wed Jul  3 15:03:08 2024	Сушки Хлебный Дом Горчичные, 250г	Цена65,99 ₽	Хлебный Дом	400.0	10.0 г	8.5 г	71.0 г	Мука пшеничная хлебопекарная первого сорта, вода питьевая, масло горчичное, сахар белый, дрожжи хлебопекарные прессованные, соль, антиокислитель - аскорбиновая кислота. 	True	True	Fri Jul  5 21:59:13 2024
Сушки Ладожский малышок с маком Зелёная Линия, 300г	69,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/199/p/suski-ladozskij-malysok-s-makom-zelenaa-linia-300g-4066395	Wed Jul  3 15:03:08 2024	Сушки Ладожский малышок с маком Зелёная Линия, 300г	Цена67,99 ₽	Зелёная Линия	375.0	10.0 г	7.0 г	68.0 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, масло подсолнечное высокоолеиновое рафинированное дезодорированное высший сорт, мак пищевой, соль пищевая, сахар белый, дрожжи хлебопекарные прессованные. Продукт может содержать следы арахиса, кунжута, яиц, молока, горчицы и продуктов их переработки. 	True	True	Fri Jul  5 21:59:14 2024
Сушки Невская Сушка маковые, 275г	85,99 ₽/шт	275 гр	https://www.perekrestok.ru/cat/199/p/suski-nevskaa-suska-makovye-275g-29630	Wed Jul  3 15:03:08 2024	Сушки Невская Сушка маковые, 275г	Цена85,99 ₽	Невская Сушка	370.0	11.0 г	4.5 г	72.0 г	Мука пшеничная хлебопекарная в/с, вода питьевая, масло подсолнечное, мак пищевой, соль поваренная пищевая, сахар-песок, дрожжи хлебопекарные прессованные. Продукт может содержать следы арахиса, кунжута, яичных и полочных продуктов. 	True	True	Fri Jul  5 21:59:15 2024
Мини-сушки Невская Сушка с маком, 200г	93,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/199/p/mini-suski-nevskaa-suska-s-makom-200g-3360910	Wed Jul  3 15:03:08 2024	Мини-сушки Невская Сушка с маком, 200г	Цена69,99 ₽	Невская Сушка	370.0	11.0 г	4.5 г	71.0 г	Мука пшеничная хлебопекарная в/с, вода питьевая, масло подсолнечное, мак пищевой, соль поваренная пищевая, сахар - песок, дрожжи хлебопекарные прессованные. Продукт может содержать следы арахиса, кунжута и яичных продуктов. 	True	True	Fri Jul  5 21:59:16 2024
Мини-сушки Волжский Пекарь с маком, 180г	51,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/199/p/mini-suski-volzskij-pekar-s-makom-180g-3623258	Wed Jul  3 15:03:08 2024	Мини-сушки Волжский Пекарь с маком, 180г	Цена51,99 ₽	Волжский Пекарь	310.0	9.5 г	5.5 г	53.0 г	Мука пшеничная хлебопекарная первого сорта, вода питьевая, мак, жир специального назначения (рафинированные дезодорированные растительные масла), соль, сахар, дрожжи хлебопекарные прессованные, антиокислитель: аскорбиновая кислота. 	True	True	Fri Jul  5 21:59:17 2024
Сушки Ладожский малышок простые Зелёная Линия, 300г	67,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/199/p/suski-ladozskij-malysok-prostye-zelenaa-linia-300g-4066394	Wed Jul  3 15:03:08 2024	Сушки Ладожский малышок простые Зелёная Линия, 300г	Цена51,99 ₽	Зелёная Линия	365.0	10.0 г	5.0 г	70.0 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, масло подсолнечное высокоолеиновое рафинированное дезодорированное высший сорт, соль пищевая, сахар белый, дрожжи хлебопекарные прессованные. Продукт может содержать следы арахиса, кунжута, яиц, молока, горчицы и продуктов их переработки. 	True	True	Fri Jul  5 21:59:18 2024
Тараллини Nina Farina классические, 180г	63,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/199/p/tarallini-nina-farina-klassiceskie-180g-3963489	Wed Jul  3 15:03:08 2024	Тараллини Nina Farina классические, 180г	Цена65,99 ₽	Nina Farina	460.0	9.0 г	20.0 г	61.0 г	Мука пшеничная высший сорт (содержит глютен), масло подсолнечное высокоолеиновое рафинированное дезодорированное, соль, спирт этиловый ректификованный из пищевого сырья. 	True	True	Fri Jul  5 21:59:19 2024
Сушки Семейка Озби Челночок, 200г	49,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/199/p/suski-semejka-ozbi-celnocok-200g-45296	Wed Jul  3 15:03:08 2024	Сушки Семейка Озби Челночок, 200г	Цена51,99 ₽	Семейка Озби	371.0	9.1 г	7.0 г	68.0 г	Мука пшеничная хлебопекарная высшего сорта, вода, масло растительное, сахар, соль, дрожжи хлебопекарные прессованные. 	True	True	Fri Jul  5 21:59:20 2024
