name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Паштет из мяса утки Фермерский с черной смородиной, 100г	154,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/778/p/pastet-iz-masa-utki-fermerskij-s-cernoj-smorodinoj-100g-4123207	Wed Jul  3 15:04:08 2024	Паштет из мяса утки Фермерский с черной смородиной, 100г	Цена159,99 ₽	Фермерский	290.0	12.0 г	27.0 г	0.5 г	Мясо утки, печень куриная,масло сливочное, соль поваренная, черная смородина сушеная, лук жареный, чеснок сушеный, экстракт мускатного ореха, концентрат белка молочной сыворотки. 	True	True	Fri Jul  5 22:59:22 2024
Паштет мясной с печенью индейки и грушей категория Б запечённый Зелёная Линия, 160г	209,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/778/p/pastet-masnoj-s-pecenu-indejki-i-grusej-kategoria-b-zapecennyj-zelenaa-linia-160g-4056910	Wed Jul  3 15:04:08 2024	Паштет мясной с печенью индейки и грушей категория Б запечённый Зелёная Линия, 160г	Цена189,99 ₽	Зелёная Линия	330.0	11.0 г	32.0 г	0.0 г	Печень индейки, шпик свиной, свинина, вода питьевая, меланж яичный, груша вяленая, соль пищевая, комплексная пищевая добавка (декстроза, экстракты натуральных пряностей (перец белый, мускатный орех), лук сушеный, антиокислитель (аскорбиновая кислота)), продукт декорирован сиропом глюкозы с добавлением экстрактов аниса и фенхеля, клюквой сушеной, семечками тыквенными очищенными. 	True	True	Fri Jul  5 22:59:23 2024
Паштет Setra Куриный без консервантов, 100г	139,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/808/p/pastet-setra-kurinyj-bez-konservantov-100g-2125902	Wed Jul  3 15:04:08 2024	Паштет Setra Куриный без консервантов, 100г	Цена139,99 ₽	Setra	322.0	10.0 г	30.0 г	3.0 г	Мясо курицы, вода, растительное масло, молочный белок, обезжиренная соевая мука, кукурузный крахмал, картофельный крахмал, соль, специи. 	True	True	Fri Jul  5 22:59:24 2024
Паштет Setra из индейки без консервантов, 100г	139,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/808/p/pastet-setra-iz-indejki-bez-konservantov-100g-2125907	Wed Jul  3 15:04:08 2024	Паштет Setra из индейки без консервантов, 100г	Цена149,99 ₽	Setra	318.0	9.0 г	30.0 г	3.0 г	Мясо индейки, мясо курицы, вода, растительное масло, молочный белок, обезжиренная соевая мука, кукурузный крахмал, картофельный крахмал, соль, специи. 	True	True	Fri Jul  5 22:59:25 2024
Паштет Hame Деликатесный с индейкой стерилизованные, 105г	83,99 ₽/шт	105 гр	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-s-indejkoj-sterilizovannye-105g-3959235	Wed Jul  3 15:04:08 2024	Паштет Hame Деликатесный с индейкой стерилизованные, 105г	Цена85,99 ₽	Hame	270.0	6.5 г	25.0 г	4.5 г	Вода питьевая, шкурка свиная, мясо свиное механической обвалки, шпик свиной, печень свиная, загуститель Е1412, смесь посолочно-нитритная (соль), загуститель Е1414, соль, консерванты, ароматизаторы (усилители вкуса, ароматообразующие вещества, масло растительное, загуститель), филе индейки, белок животный, стабилизаторы, специи. 	True	True	Fri Jul  5 22:59:26 2024
Паштет Hame Деликатесный с гусиной печенью, 105г	83,99 ₽/шт	105 гр	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-s-gusinoj-pecenu-105g-3959234	Wed Jul  3 15:04:08 2024	Паштет Hame Деликатесный с гусиной печенью, 105г	Цена85,99 ₽	Hame	260.0	6.0 г	25.0 г	4.5 г	Вода питьевая; шкурка свиная; мясо свиное механической обвалки; шпик свиной; печень свиная; загуститель Е1412; соль; гидрогенизированный растительный жир; смесь сухих специй; гидролизат растительного белка; пшеничный крахмал; мясной экстракт; сахар; сухое говяжье мясо; загуститель Е1414; смесь посолочно-нитритная (соль, консервант Е250); консерванты (Е262(i), Е262 (ii)); белок животный; стабилизатор Е331; антиокислитель Е316; декстроза; экстракты специй (черный перец, мускатный орех, чеснок); глюкозный сироп; гусиная печень. 	True	True	Fri Jul  5 22:59:26 2024
Паштет Hame Деликатесный из мяса птицы стерилизованные, 105г	83,99 ₽/шт	105 гр	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-iz-masa-pticy-sterilizovannye-105g-3959236	Wed Jul  3 15:04:08 2024	Паштет Hame Деликатесный из мяса птицы стерилизованные, 105г	Цена85,99 ₽	Hame	260.0	6.0 г	24.0 г	4.5 г	Мясо птицы, вода, свинина жилованная, шкурка свиная, шпик свиной, крахмал картофельный модифицированный E1412, E1414, смесь посолочно-нитратная (соль пищевая, консервант Е250), пряности. 	True	True	Fri Jul  5 22:59:27 2024
Паштет с куриной печенью и черносливом категории Б Зелёная Линия, 160г	199,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/778/p/pastet-s-kurinoj-pecenu-i-cernoslivom-kategorii-b-zelenaa-linia-160g-4163785	Wed Jul  3 15:04:08 2024	Паштет с куриной печенью и черносливом категории Б Зелёная Линия, 160г	Цена199,99 ₽	Зелёная Линия	340.0	11.0 г	32.0 г	2.0 г	Печень куриная, свинина, шпик свиной, вода питьевая, филе грудки индеек, меланж яичный, слива сушеная (чернослив) без косточек, соль пищевая, комплексная пищевая добавка (экстракты пряностей (черный перец, кардамон, душистый перец), декстроза, лук сушеный), антиокислитель (лимонная кислота), пряности натуральные молотые (чеснок, перец черный, кориандр), продукт декорирован сиропом глюкозы, травяным экстрактом аниса и фенхеля, кедровыми орехами очищенными, клюквой сушеной. 	True	True	Fri Jul  5 22:59:28 2024
Паштет По-домашнему категория Б Зелёная Линия, 160г	229,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/778/p/pastet-po-domasnemu-kategoria-b-zelenaa-linia-160g-4135358	Wed Jul  3 15:04:08 2024	Паштет По-домашнему категория Б Зелёная Линия, 160г	Цена219,99 ₽	Зелёная Линия	270.0	9.0 г	25.0 г	2.0 г	Печень говяжья, вода питьевая, морковь вареная, свинина, шпик свиной, лук репчатый пассерованный (лук репчатый, масло подсолнечное рафинированное дезодорированное), меланж яичный, масло подсолнечное рафинированное дезодорированное, соль пищевая, молоко сухое, экстракты натуральных пряностей (перец черный, кардамон, перец душистый), декстроза, лук сушеный, сахар, мускатный орех молотый. 	True	True	Fri Jul  5 22:59:29 2024
Паштет Setra из куриной печени без консервантов, 100г	134,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/808/p/pastet-setra-iz-kurinoj-peceni-bez-konservantov-100g-2125905	Wed Jul  3 15:04:08 2024	Паштет Setra из куриной печени без консервантов, 100г	Цена139,99 ₽	Setra	322.0	10.0 г	30.0 г	3.0 г	Мясо курицы, вода, растительное масло, печень куриная, молочный белок, обезжиренная соевая мука, кукурузный крахмал, картофельный крахмал, соль, специи. 	True	True	Fri Jul  5 22:59:30 2024
